Human development index by indicator according to country. 2020
Human development index;Life expectancy at birth in years;Expected years of schooling (a) (b);Mean years of schooling (a);Gross national income per capita at PPP in US$ in 2017 (*)
2019;2019;2019;2019;2019
VERY HIGH HUMAN DEVELOPMENT
1;Norway;0.957;82.4;18.06615;12.89775;66494.25217
2;Ireland;0.955;82.31;18.70529;12.6663305;68370.58737
2;Switzerland;0.955;83.78;16.32844;13.38081241;69393.52076
4;Hong Kong. China (RAE);0.949;84.86;16.92947;12.27996;62984.76553
4;Iceland;0.949;82.99;19.08309;12.77278684;54682.38057
6;Germany;0.947;81.33;16.97719;14.15168;55314.35355
7;Sweden;0.945;82.8;19.48234;12.54847;54507.80504
8;Australia;0.944;83.44;21.95433;12.72469119;48084.84207
8;Netherlands;0.944;82.28;18.48513;12.4148;57707.06867
10;Denmark;0.94;80.9;18.89342;12.61380326;58661.87084
11;Finland;0.938;81.91;19.39712;12.82413;48511.3978
11;Singapore;0.938;83.62;16.44088;11.62461;88155.21431
Basque Country;0.937080878825009;83.9;18.6;11.1654725065461;57438.361799182
13;United Kingdom;0.932;81.32;17.49843;13.24287;46070.64481
14;Belgium;0.931;81.63;19.77438;12.05027;52084.59209
14;New Zealand;0.931;82.29;18.83857;12.78207732;40798.7196
16;Canada;0.929;82.43;16.15789;13.36610479;48527.03573
17;United States;0.926;78.86;16.31039;13.41344;63825.65748
18;Austria;0.922;81.54;16.09207;12.5461436;56196.89869
19;Israel;0.919;82.97;16.16283;13.0348541;40186.84583
19;Japan;0.919;84.63;15.23057;12.85;42931.69575
19;Liechtenstein;0.919;80.67;14.90233;12.53854;131031.5898
22;Slovenia;0.917;81.32;17.57206;12.65874;38079.53399
23;Republic of Korea;0.916;83.03;16.48165;12.21376462;43043.71057
23;Luxembourg;0.916;82.25;14.25582;12.31145;72711.67412
25;Spain;0.904;83.57;17.61613;10.25178;40974.52408
26;France;0.901;82.66;15.64217;11.4795;47172.53748
27;Czech Republic;0.9;79.38;16.78511;12.72238228;38108.56662
28;Malta;0.895;82.53;16.10407;11.32613;39554.52078
29;Estonia;0.892;78.75;15.989;13.14306146;36019.26692
29;Italy;0.892;83.51;16.0889;10.37955;42776.35692
31;United Arab Emirates;0.89;77.97;14.3441;12.11122;67462.0953
32;Greece;0.888;82.24;17.90792;10.55207;30154.63438
33;Cyprus;0.887;80.98;15.16887;12.17123;38206.84049
34;Lithuania;0.882;75.93;16.63731;13.07721;35798.67041
35;Poland;0.88;78.73;16.30117063;12.47232;31622.55302
36;Andorra;0.868;81.91;13.30023874;10.50176;56000.30336
37;Lithuania;0.866;75.29;16.16769;13.03085;30282.39353
38;Portugal;0.864;82.05;16.53579;9.26347;33966.82756
39;Slovakia;0.86;77.54;14.48704;12.69315651;32113.04569
40;Hungary;0.854;76.88;15.20418;11.96329;31328.80599
40;Saudi Arabia;0.854;75.13;16.13575;10.22517;47495.42697
42;Bahrain;0.852;77.29;16.25482;9.5192;42521.70451
43;Chile;0.851;80.18;16.44755;10.58295;23261.29726
43;Croatia;0.851;78.49;15.22672;11.44932;28069.84837
45;Qatar;0.848;80.23;12.03595;9.73144;92418.23036
46;Argentina;0.845;76.67;17.6542;10.94060102;21190.17661
47;Brunéi;0.838;75.86;14.31391;9.14;63965.09279
48;Montenegro;0.829;76.88;14.99968;11.58926489;21399.24713
49;Romania;0.828;76.05;14.25988;11.0708;29497.23164
50;Palaos;0.826;73.93;15.7967036;12.49143;19316.97453
51;Kazakhstan;0.825;73.6;15.61293;11.8949;22857.46082
52;Russian Federation;0.824;72.58;15.02735;12.17244258;26157.04711
53;Belarus;0.823;74.79;15.40479;12.30584324;18546.48713
54;Turkey;0.82;77.69;16.60266555;8.10682;27700.89481
55;Uruguay;0.817;77.91;16.83564;8.92573;20063.64222
56;Bulgaria;0.816;75.05;14.41442;11.36009;23324.6574
57;Panama;0.815;78.51;12.90561;10.24;29557.66834
58;Bahamas;0.814;73.92;12.89945;11.43692;33747.21264
58;Barbados;0.814;79.19;15.39288672;10.64244442;14935.90942
60;Oman;0.813;77.86;14.18214;9.731845912;25944.07218
61;Georgia;0.812;73.77;15.27506;13.13296;14428.79984
62;Costa Rica;0.81;80.28;15.65154;8.74194;18486.37141
62;Malaysia;0.81;76.16;13.67864;10.37283;27534.09856
64;Kuwait;0.806;75.49;14.24582;7.275667996;58590.08219
64;Serbia;0.806;76;14.73747;11.19411;17191.66873
